t,accCmpX,accCmpY,accCmpZ
231,8.88863,0.419506,-1.53303
232,9.59283,0.758038,-2.17897
233,9.57754,-1.19421,-7.95197
234,9.24022,-2.26087,-10.4447
235,8.91949,-3.09285,-12.7044
236,8.5508,-4.47416,-8.80127
237,8.01212,-4.12815,-4.80873
238,7.36685,-1.89404,-3.01532
239,9.5043,-1.47972,-2.54282
240,8.89012,3.4096,-9.05474
241,5.71537,4.9407,-12.2602
242,0.859568,-0.100508,-8.89383
243,-4.25281,2.51317,-5.83007
244,2.55439,4.83667,-8.51894
245,7.96267,-4.93801,-13.196
246,9.53031,0.381518,-21.1646
247,8.88848,-3.13147,-13.7773
248,6.15147,-3.4107,-5.91436
249,6.61224,-7.04596,-6.89943
250,7.01498,-6.33541,-11.9476
251,8.7956,3.40081,-13.3477
252,9.55419,-0.30547,-0.900097
253,9.30736,2.06238,-5.01757
254,8.02855,5.31357,-10.3605
255,5.94941,6.19881,-13.7848
256,7.42725,5.87092,-4.40729
257,8.57911,0.069916,0.423972
258,9.2398,-2.38037,-13.6606
259,9.57365,0.537223,-18.5513
260,9.53539,-0.671031,-3.21943
261,8.53534,-2.52368,-2.76954
262,6.15002,-3.59087,-4.34125
263,4.84349,-6.57647,-7.74023
264,3.55362,-8.6191,-9.86066
265,5.6147,-6.69292,-13.278
266,7.32921,-1.33509,-17.514
267,8.629,2.41808,-17.5709
268,9.42633,2.12701,-12.1341
269,9.45425,0.388045,-11.6836
270,8.82604,-3.51793,-9.72713
271,6.88827,-6.6721,-8.61129
272,3.9045,-8.70351,-8.27928
273,1.07621,-8.76875,-10.4844
274,2.94802,-7.63648,-12.2337
275,4.61937,1.04356,-15.2854
276,6.10277,6.81622,-12.4737
277,6.50707,7.40151,-9.35214
278,6.837,6.37455,-6.56223
279,7.15058,4.50373,-4.06248
280,7.44715,2.18373,-2.32842
281,7.11143,6.06376,-6.70558
282,8.13547,4.52899,-5.27223
283,8.87324,2.84641,-3.43455
284,9.36406,1.37602,-1.81782
285,9.65757,-0.240465,-1.95203
286,8.86233,-1.66363,-2.32161
287,7.40986,-1.71483,-2.30691
288,5.52057,-0.617962,-3.88162
289,3.00929,-1.34472,-6.71444
290,0.132065,-1.90878,-9.56484
291,-2.76747,-2.31071,-12.3813
292,-5.4321,-2.42852,-14.8945
293,-6.00377,-6.96019,-12.3755
294,-6.46236,-7.33971,-7.93286
295,-5.77004,-6.81932,-7.09442
296,-4.97656,-5.31162,-6.41026
297,-4.14213,-2.66718,-5.5242
298,-3.2065,0.190798,-6.25046
299,-4.05493,-1.77295,-8.31684
300,-4.75942,-3.18746,-7.82374
301,-5.44271,-4.37882,-7.5555
302,-4.97002,1.22573,-5.65691
303,-4.4484,6.53932,-7.43451
304,-4.13845,6.13086,-7.68464
305,-3.70475,5.37012,-7.78729
306,-3.26621,4.49573,-7.98699
307,-1.55663,8.51469,-8.95944
308,0.542208,7.31088,-10.4319
309,2.57252,5.64543,-12.1834
310,1.58681,0.130154,-12.3574
311,0.634789,-5.59431,-11.2063
312,-0.334099,-9.33988,-10.3093
313,0.167152,-9.9086,-9.72064
314,0.808664,-9.37387,-9.24981
315,1.44102,-7.81544,-8.43583
316,4.90424,-7.09266,-12.7915
317,7.54315,0.955904,-17.6296
318,8.96583,1.4565,-10.4972
319,8.88533,1.38639,-17.8423
320,8.31357,2.59496,-16.2046
321,7.26924,3.49919,-15.6788
322,5.86761,4.08615,-14.7668
323,5.04645,6.88326,-12.6529
324,4.15034,8.53298,-10.1562
325,3.57921,7.40153,-12.2023
326,2.97761,3.31465,-13.0247
327,-2.15791,4.0269,-10.1717
328,-6.8108,3.98047,-6.3081
329,-9.83857,2.18723,-4.3845
330,-2.16158,7.91106,-3.72963
331,6.88888,-3.52722,3.35502
332,7.61379,-5.69628,-11.5584
333,8.41889,-1.77811,-19.1241
334,8.92124,0.788413,-17.6538
335,8.95675,1.11856,-16.2297
336,8.98931,0.876871,-16.7918
337,8.71821,1.45021,-17.284
338,8.42164,1.79302,-17.1838
339,8.03361,2.05899,-16.9799
340,4.07883,-4.83722,-13.5141
341,-1.71483,-8.93239,-10.0798
342,4.19808,7.72879,-10.399
343,8.39943,-3.44288,-3.49996
344,7.50415,-6.05451,-9.16124
345,6.13732,-5.08225,-13.0935
346,4.48868,-0.170863,-13.0222
347,3.1084,-2.79249,-12.7263
348,1.64579,-5.63677,-11.0389
349,0.139318,-7.97593,-9.67743
350,-4.00976,-4.3429,-6.10354
351,-7.49583,-0.175637,-2.26775
352,-7.60079,3.76515,-2.60681
353,-7.79206,5.93119,-5.87394
354,-9.34347,1.8741,-1.08962
355,-10.1374,-0.316482,-0.541819
356,-10.1727,1.49581,-6.37284
357,-9.78583,2.71082,-5.48757
358,-9.39024,3.43734,-4.36155
359,-7.25427,3.17063,-3.67129
360,-3.81702,-0.106122,-6.42537
361,0.166958,-4.58159,-10.3349
362,-6.37534,-7.18543,-13.7778
363,-10.0049,0.453446,-18.7409
364,-9.99154,-1.84353,-16.6962
365,-8.53926,-5.41907,-13.5085
366,-5.89924,-8.40414,-10.8559
367,-8.18588,4.71994,-17.1575
368,-2.07658,-3.86987,-13.996
369,4.94927,-8.06943,-13.1021
370,8.96926,-0.538626,-21.9602
371,7.64596,-4.36353,-17.3593
372,1.58337,-7.79288,-11.3797
373,-5.81957,2.18764,-17.6695
374,-2.02276,-10.0258,-11.1324
375,1.87501,-0.250864,-13.4014
376,5.32007,7.33222,-9.99062
377,7.82693,-1.95882,-2.95026
378,9.09633,-1.85087,-15.291
379,9.45671,0.462073,-14.8299
380,9.35311,-0.885924,-2.36156
381,9.05766,1.31961,3.0688
382,8.61668,4.26033,-8.32425
383,8.07389,-0.736067,-14.0487
384,9.5549,0.482423,-2.22088
385,8.74277,3.48705,-14.8396
386,5.88875,-7.45184,-9.1872
387,1.60687,9.48125,-9.70895
388,-3.13046,-7.43103,-8.42743
389,-3.14942,-7.21308,-9.92927
390,-3.27565,3.93294,-10.8613
391,-3.46863,9.13987,-7.48175
392,-3.72748,0.713545,-4.54214
393,0.73467,3.38963,-9.74397
394,5.0044,4.89562,-13.108
