t,accX,accY,accZ
462,-0.51012,-0.11772,-7.44579
463,-0.5199300000000001,-0.16677,-6.71004
464,-0.5199300000000001,-0.16677,-6.71004
465,-0.5199300000000001,-0.16677,-6.71004
466,-0.5199300000000001,-0.16677,-6.71004
467,-0.5199300000000001,-0.16677,-6.71004
468,-0.5493600000000001,-0.21582000000000004,-8.80938
469,-0.5493600000000001,-0.21582000000000004,-8.80938
470,-0.5493600000000001,-0.21582000000000004,-8.80938
471,-0.5493600000000001,-0.21582000000000004,-8.80938
472,-0.5493600000000001,-0.21582000000000004,-8.80938
473,-0.5493600000000001,-0.21582000000000004,-8.80938
474,-0.75537,-0.50031,-11.026440000000001
475,-0.75537,-0.50031,-11.026440000000001
476,-0.75537,-0.50031,-11.026440000000001
477,-0.75537,-0.50031,-11.026440000000001
478,-0.75537,-0.50031,-11.026440000000001
479,-0.71613,-0.37278000000000006,-9.819810000000002
480,-0.71613,-0.37278000000000006,-9.819810000000002
481,-0.71613,-0.37278000000000006,-9.819810000000002
482,-0.71613,-0.37278000000000006,-9.819810000000002
483,-0.71613,-0.37278000000000006,-9.819810000000002
484,-0.7749900000000001,-0.24525,-10.800810000000002
485,-0.7749900000000001,-0.24525,-10.800810000000002
486,-0.7749900000000001,-0.24525,-10.800810000000002
487,-0.7749900000000001,-0.24525,-10.800810000000002
488,-0.8044200000000001,-0.47088,-11.536560000000001
489,-0.8044200000000001,-0.47088,-11.536560000000001
490,-0.8044200000000001,-0.47088,-11.536560000000001
491,-0.8044200000000001,-0.47088,-11.536560000000001
492,-0.8044200000000001,-0.47088,-11.536560000000001
493,-0.75537,-0.36297,-12.17421
494,-0.75537,-0.36297,-12.17421
495,-0.75537,-0.36297,-12.17421
496,-0.75537,-0.36297,-12.17421
497,-0.75537,-0.36297,-12.17421
498,-0.75537,-0.36297,-12.17421
499,-0.75537,0.08829000000000001,-10.65366
500,-0.75537,0.08829000000000001,-10.65366
501,-0.75537,0.08829000000000001,-10.65366
