t,velX,velY,velZ,velAir,vel
185,0.80954,0.446638,-0.917212,19.092,19.092
186,0.847429,0.407635,-1.00211,19.0396,19.0396
187,0.875907,0.325884,-1.16971,18.7966,18.7966
188,0.689069,0.140081,-1.68907,17.3906,17.3906
189,0.352264,-0.721134,-1.19651,15.2299,15.2299
190,-0.0495892,-0.806316,-1.00098,14.2748,14.2748
191,-0.446751,0.137664,-1.40794,14.8683,14.8683
192,-0.523459,-0.299329,-1.48625,13.6575,13.6575
193,-0.593008,-0.598172,-1.39801,13.0499,13.0499
194,-0.385472,-0.91839,-0.985184,13.4156,13.4156
195,-0.144274,-0.651053,-0.923305,14.3838,14.3838
196,0.138489,-0.0283522,-1.23916,15.8269,15.8269
197,0.416776,0.54171,-1.40807,17.7973,17.7973
198,0.312397,0.282553,-1.35408,16.8799,16.8799
199,0.198845,-0.0846796,-1.25513,15.8421,15.8421
200,0.0828336,-0.458372,-1.12492,14.9848,14.9848
201,-0.14455,-0.866442,-0.951987,14.036,14.036
202,-0.372467,-0.894947,-1.05854,13.3804,13.3804
203,-0.627691,-0.653761,-1.31077,12.9844,12.9844
204,-0.832116,-0.355096,-1.61241,12.9251,12.9251
205,-0.775514,-0.630688,-1.19397,12.9118,12.9118
206,-0.711513,-0.641968,-0.762618,13.5681,13.5681
207,-0.640466,-0.372005,-0.517831,14.5349,14.5349
208,-0.404219,-0.721183,-0.717536,14.037,14.037
209,-0.122884,-0.94673,-0.917223,14.0239,14.0239
210,0.0831619,-0.924634,-1.03993,14.3962,14.3962
211,0.280969,-0.88197,-1.07346,14.9426,14.9426
212,0.465025,-0.799752,-1.09872,15.5619,15.5619
213,0.675653,-0.580504,-1.44632,16.2265,16.2265
214,0.830919,-0.281639,-1.76719,17.0154,17.0154
215,0.897215,-0.110978,-1.89866,17.4832,17.4832
216,0.933316,-0.0129058,-1.99995,17.7504,17.7504
217,0.931054,-0.151257,-1.71497,17.6401,17.6401
218,0.900911,-0.314847,-1.14941,17.6692,17.6692
219,0.857399,-0.36205,-0.593368,18.035,18.035
220,0.801458,-0.192,-0.287021,18.5414,18.5414
221,0.210174,0.986846,-1.02422,19.0535,19.0535
222,0.322026,-0.0622375,-0.496793,17.0779,17.0779
223,0.437129,-0.83274,-0.883911,15.6757,15.6757
224,0.72855,-0.204192,-1.6582,16.8577,16.8577
225,0.905628,0.194583,-1.6165,18.2863,18.2863
226,0.931754,-0.112417,-0.615893,18.6686,18.6686
227,0.890147,-0.146123,-0.14087,19.1416,19.1416
228,0.79896,0.165945,-0.182204,19.3471,19.3471
229,0.669448,0.611404,-0.65297,19.3757,19.3757
230,0.797386,0.305473,-0.383492,19.34,19.34
231,0.888863,0.0419506,-0.153303,19.4433,19.4433
232,0.959283,0.0758038,-0.217897,19.6421,19.6421
233,0.957754,-0.119421,-0.795197,18.5448,18.5448
234,0.924022,-0.226087,-1.04447,17.9921,17.9921
235,0.891949,-0.309285,-1.27044,17.5421,17.5421
236,0.85508,-0.447416,-0.880127,17.5657,17.5657
237,0.801212,-0.412815,-0.480873,17.9172,17.9172
238,0.736685,-0.189404,-0.301532,18.3158,18.3158
239,0.95043,-0.147972,-0.254282,19.166,19.166
240,0.889012,0.34096,-0.905474,19.1112,19.1112
241,0.571537,0.49407,-1.22602,18.2264,18.2264
242,0.0859568,-0.0100508,-0.889383,16.1068,16.1068
243,-0.425281,0.251317,-0.583007,16.1324,16.1324
244,0.255439,0.483667,-0.851894,17.7371,17.7371
245,0.796267,-0.493801,-1.3196,16.8742,16.8742
246,0.953031,0.0381518,-2.11646,17.8699,17.8699
247,0.888848,-0.313147,-1.37773,17.4396,17.4396
248,0.615147,-0.34107,-0.591436,17.2767,17.2767
249,0.661224,-0.704596,-0.689943,16.7777,16.7777
250,0.701498,-0.633541,-1.19476,16.4549,16.4549
251,0.87956,0.340081,-1.33477,18.7139,18.7139
252,0.955419,-0.030547,-0.0900097,19.641,19.641
253,0.930736,0.206238,-0.501757,19.4066,19.4066
254,0.802855,0.531357,-1.03605,19.1768,19.1768
255,0.594941,0.619881,-1.37848,18.5251,18.5251
256,0.742725,0.587092,-0.440729,19.7796,19.7796
257,0.857911,0.0069916,0.0423972,19.614,19.614
258,0.92398,-0.238037,-1.36606,17.7008,17.7008
259,0.957365,0.0537223,-1.85513,18.0447,18.0447
260,0.953539,-0.0671031,-0.321943,19.2124,19.2124
261,0.853534,-0.252368,-0.276954,18.6327,18.6327
262,0.615002,-0.359087,-0.434125,17.4681,17.4681
263,0.484349,-0.657647,-0.774023,16.1792,16.1792
264,0.355362,-0.86191,-0.986066,15.2787,15.2787
265,0.56147,-0.669292,-1.3278,15.8208,15.8208
266,0.732921,-0.133509,-1.7514,16.9429,16.9429
267,0.8629,0.241808,-1.75709,18.1577,18.1577
268,0.942633,0.212701,-1.21341,18.7407,18.7407
269,0.945425,0.0388045,-1.16836,18.4335,18.4335
270,0.882604,-0.351793,-0.972713,17.7112,17.7112
271,0.688827,-0.66721,-0.861129,16.7099,16.7099
272,0.39045,-0.870351,-0.827928,15.5601,15.5601
