t,accCmpX,accCmpY,accCmpZ
309,-9.25071,-0.00674208,-6.57334
310,-9.23985,0.424252,-3.96864
311,-7.80986,5.07693,-5.7576
312,-4.40089,8.71902,-8.08277
313,0.218242,10.088,-8.74276
314,0.940196,9.66486,-10.3545
315,1.86834,9.07627,-9.89995
316,4.994,6.73936,-6.45626
317,7.67851,3.6836,-3.29445
318,6.22277,3.0887,-3.75616
319,4.50185,1.67202,-5.14148
320,2.61067,-0.221133,-6.98731
321,7.68082,-2.26792,-4.06131
322,10.0857,-0.66279,-3.26518
323,10.0545,0.0694217,-2.54027
324,10.013,0.858371,-3.33398
325,9.86092,1.77724,-4.24833
326,9.89672,-1.63129,-4.15951
327,8.4609,-4.43948,-4.81319
328,5.78287,-6.50655,-6.30126
329,-0.0821879,-6.02146,-10.6048
330,1.19256,-3.72393,-9.23375
331,2.46369,-1.46062,-7.91298
332,3.68975,0.794881,-6.65605
333,1.31143,3.2915,-8.21847
334,-1.14374,5.4772,-10.4178
335,-3.53137,6.88116,-11.8611
336,-5.69626,7.15006,-12.1953
337,-6.9571,5.87975,-12.4297
338,-7.22315,-6.19283,-10.8666
339,5.86806,-7.54479,-11.4739
340,8.73461,3.76754,-15.4901
341,6.44805,5.46784,-14.5901
342,3.31804,6.28822,-12.4919
343,-8.95457,-0.0550807,-0.525625
344,-4.00496,6.29352,-6.67325
345,1.73693,8.93301,-10.3412
346,6.91594,7.34591,-10.5646
347,9.77336,2.35146,-7.8482
348,-6.56695,-5.57933,-13.303
349,1.72811,5.4178,-8.14325
350,4.25489,-1.10263,-5.42917
351,-9.57975,0.419183,-20.1989
352,-5.07607,3.45878,-15.1564
353,3.6688,6.64662,-7.45763
354,-4.96757,-4.55487,-17.0256
355,-9.63332,0.270063,-6.72548
356,-4.15255,-6.86563,-10.3294
357,9.82629,0.468556,-18.5817
358,-0.211257,-10.195,-9.84605
359,-8.98601,1.25466,-17.8151
360,10.0159,-1.59535,-1.40435
361,-9.03143,1.42697,-14.5351
362,-0.229977,-11.4402,-9.43721
363,9.65169,0.617296,-13.5596
364,-0.448441,-2.93455,-9.52077
365,-9.50252,-2.61735,-10.0049
366,2.43012,-4.02893,-9.25564
367,8.69381,2.92882,-17.8334
368,-6.82225,-6.90141,-10.5692
369,-8.71267,-1.86941,-19.2553
370,0.162373,-2.78329,-11.6619
371,8.86006,4.54488,-8.26999
372,-0.434388,-0.587258,-13.4991
373,-8.98321,-2.71449,-15.3199
374,-5.80911,4.87221,-7.85974
375,4.94633,-6.72338,-16.6561
376,0.925359,9.81291,-13.0749
377,-4.93074,-7.66812,-14.6001
378,9.17762,3.42631,-7.04451
379,-8.86487,0.691589,-20.9925
380,4.57241,3.66973,-8.07377
381,3.78378,-7.60336,-10.0303
382,-9.00502,2.12462,-17.0687
383,7.59996,5.97157,-7.94471
384,-3.96055,-4.16773,-14.2553
385,1.99694,1.10156,-8.9459
386,6.10844,2.27146,-6.29967
387,-8.75962,-1.55697,-18.9517
388,4.31344,-8.8874,-10.9095
389,9.72424,3.92914,-15.2807
390,-4.15493,3.96583,-7.31742
391,-8.71156,0.570459,-0.0615216
392,-0.781674,8.06695,-8.46354
393,10.8717,1.1296,-12.6528
394,1.70781,-9.72172,-10.0607
395,-8.68178,-0.00313121,-14.4386
396,-8.53444,0.902775,-11.2018
397,-8.46808,1.56164,-8.11672
398,-4.56224,8.012,-10.176
399,2.85772,8.67919,-8.42917
400,9.18999,2.35963,-2.26859
401,11.1867,0.6337,-0.412137
402,10.739,2.17735,-2.72709
403,9.8783,4.60127,-5.95851
404,8.62395,6.77406,-9.16776
405,-2.90107,6.22736,-6.16426
406,-8.23477,0.119802,0.4148
407,0.294045,7.74777,-8.53949
408,1.03876,5.93239,-9.30916
409,1.5673,3.44085,-9.72457
410,5.24396,5.94248,-11.4919
411,8.33724,6.38365,-12.2124
412,10.5272,4.47773,-10.5684
