t,velX,velY,velZ,velAir,vel
7403,-0.555281,-0.355192,-1.38592,13.5828,13.5828
7404,-0.397176,-0.369169,-1.24711,13.9816,13.9816
7405,-0.311218,-0.110477,-1.21235,14.7099,14.7099
7406,-0.230505,0.163786,-1.13115,15.5856,15.5856
7407,-0.148885,0.43443,-1.03898,16.5529,16.5529
7408,-0.0669478,0.672145,-0.957128,17.5019,17.5019
7409,0.0148665,0.851642,-0.904113,18.301,18.301
7410,-0.0693041,0.973965,-0.919886,18.5631,18.5631
7411,-0.160837,0.945089,-0.874607,18.3445,18.3445
7412,-0.252167,0.770106,-0.767556,17.6987,17.6987
7413,-0.342246,0.484744,-0.627372,16.839,16.839
7414,-0.430307,0.144489,-0.4961,15.9889,15.9889
7415,-0.596716,0.012663,-0.287181,15.7784,15.7784
7416,-0.746601,-0.0836308,-0.144868,15.6338,15.6338
7417,-0.863462,-0.127297,-0.0570412,15.5769,15.5769
7418,-0.941995,-0.110118,-0.0321473,15.5724,15.5724
7419,-0.978536,-0.0317797,-0.070674,15.6138,15.6138
7420,-0.754955,-0.250429,-0.203383,15.1714,15.1714
7421,-0.251445,-0.206887,-0.651966,15.3064,15.3064
7422,0.345353,-0.0264519,-1.24287,16.3549,16.3549
7423,0.814182,0.0882099,-1.7,17.6894,17.6894
7424,0.981689,-0.0134905,-1.81403,18.0274,18.0274
7425,0.965044,-0.0835147,-1.88777,17.7935,17.7935
7426,0.938976,-0.185445,-1.7628,17.5819,17.5819
7427,0.898115,-0.310555,-1.61141,17.3125,17.3125
7428,0.843185,-0.445801,-1.44677,17.0148,17.0148
7429,0.775057,-0.577094,-1.28316,16.7107,16.7107
7430,0.427054,-0.871713,-1.03495,15.4241,15.4241
7431,0.000480414,-0.961408,-1.00863,14.1806,14.1806
7432,-0.429052,-0.808358,-1.18101,13.247,13.247
7433,-0.775382,-0.486346,-1.47793,12.8727,12.8727
7434,-0.969341,-0.137534,-1.7591,13.0967,13.0967
7435,-0.858732,-0.244273,-1.73426,13.024,13.024
7436,-0.68291,-0.244905,-1.62618,13.3818,13.3818
7437,-0.450747,-0.159465,-1.42597,14.1393,14.1393
7438,-0.181698,-0.0158353,-1.16367,15.2221,15.2221
7439,0.101518,0.145131,-0.881812,16.4967,16.4967
7440,-0.551938,0.340529,-1.38549,15.2679,15.2679
7441,-0.94718,0.172423,-1.6172,14.0412,14.0412
7442,-0.885085,-0.331306,-1.39884,13.0977,13.0977
7443,-0.396624,-0.828853,-1.0196,13.4754,13.4754
7444,0.282506,-0.924143,-0.85648,15.1512,15.1512
7445,0.73609,-0.614417,-1.18649,16.6079,16.6079
7446,0.963806,-0.112094,-1.59006,17.9105,17.9105
7447,0.888797,0.176268,-1.76111,18.1014,18.1014
7448,0.535612,0.049415,-1.5027,16.8443,16.8443
7449,0.014732,-0.329909,-0.981751,15.206,15.206
7450,-0.425604,-0.47161,-0.587836,14.598,14.598
7451,-0.780169,-0.422195,-0.40544,14.4347,14.4347
7452,-0.965039,-0.145163,-0.45751,14.6451,14.6451
7453,-0.94012,0.275002,-0.672348,15.358,15.358
7454,-0.682084,0.661246,-0.861852,16.5981,16.5981
7455,-0.249064,0.907804,-0.97916,17.958,17.958
7456,0.247951,0.915993,-1.06503,18.8477,18.8477
7457,0.681299,0.679609,-1.09734,19.1642,19.1642
7458,0.939771,0.258428,-1.07932,18.9411,18.9411
7459,0.957145,-0.237579,-1.03531,18.104,18.104
7460,0.931689,-0.236457,-0.917566,18.1266,18.1266
7461,0.929678,-0.242605,-0.838946,18.191,18.191
7462,0.927581,-0.246978,-0.761716,18.2607,18.2607
7463,0.925384,-0.249468,-0.686446,18.3352,18.3352
7464,0.923133,-0.249773,-0.613628,18.4141,18.4141
7465,0.863475,0.314814,-0.653002,19.2334,19.2334
7466,0.395006,0.632832,-0.852201,18.4919,18.4919
7467,0.900429,0.0420584,-0.0783018,19.6045,19.6045
7468,0.824413,0.263468,-0.288147,19.4683,19.4683
7469,0.215062,0.919108,-0.940692,18.9015,18.9015
7470,0.278405,0.949555,-0.98266,19.1054,19.1054
7471,0.347385,0.914659,-1.05732,19.0733,19.0733
7472,0.0608462,0.991998,-0.977843,18.8142,18.8142
7473,-0.241568,0.977965,-0.956669,18.2504,18.2504
7474,0.0334218,0.957854,-0.989408,18.6267,18.6267
7475,0.288194,0.833755,-0.864191,18.8488,18.8488
7476,0.521805,0.616822,-0.64603,18.9955,18.9955
7477,0.7398,0.398245,-0.327852,19.454,19.454
7478,0.8898,0.185444,-0.118707,19.7765,19.7765
7479,0.952351,-0.0231356,0.00303053,19.8021,19.8021
7480,0.768126,-0.112634,-0.140703,18.8017,18.8017
7481,0.378835,-0.0705163,-0.511896,17.1869,17.1869
7482,-0.0176193,0.19346,-0.974173,16.2493,16.2493
7483,-0.415406,0.426573,-1.32443,15.7897,15.7897
7484,-0.420313,0.57714,-1.26093,16.2985,16.2985
7485,-0.425584,0.701545,-1.20645,16.7455,16.7455
7486,-0.595674,0.725453,-1.24297,16.5459,16.5459
7487,-0.748035,0.643265,-1.11157,16.1866,16.1866
7488,-0.868543,0.475406,-0.89845,15.7305,15.7305
7489,-0.781053,0.527906,-0.60253,16.378,16.378
7490,-0.673649,0.434131,-0.464754,16.4396,16.4396
7491,-0.846865,0.109871,-0.0881541,16.0495,16.0495
7492,-0.956082,-0.0706797,0.0195262,15.752,15.752
7493,-0.381748,0.139949,-0.661027,15.8171,15.8171
7494,0.451058,0.421787,-1.42731,17.5455,17.5455
7495,0.931776,0.134328,-1.61905,18.2504,18.2504
7496,0.669922,0.462729,-1.48187,18.2405,18.2405
7497,0.151618,0.521062,-1.11,17.3468,17.3468
7498,0.192329,0.521475,-1.09511,17.4532,17.4532
7499,0.231595,0.519078,-1.12774,17.5066,17.5066
7500,0.270422,0.515763,-1.15984,17.5598,17.5598
7501,0.89169,0.32562,-1.30247,18.7456,18.7456
7502,0.832379,-0.397591,-0.614024,17.8693,17.8693
7503,0.944443,0.038952,-0.239392,19.4908,19.4908
7504,0.747034,0.341812,-0.324412,19.3502,19.3502
7505,0.292133,0.443795,-0.672154,17.9226,17.9226
7506,0.202624,0.283839,-0.740438,17.2243,17.2243
7507,-0.0876341,0.435313,-1.07086,16.6412,16.6412
7508,-0.374234,0.53926,-1.29349,16.2256,16.2256
7509,-0.628488,0.550237,-1.42617,15.7585,15.7585
7510,-0.71952,0.594505,-1.26659,15.9151,15.9151
7511,-0.806953,0.554179,-1.13773,15.7937,15.7937
7512,-0.878561,0.459217,-0.956773,15.601,15.601
7513,-0.780278,0.614369,-0.952346,16.2171,16.2171
7514,-0.651097,0.748183,-0.920729,16.8663,16.8663
7515,-0.619094,0.727439,-0.71142,17.0807,17.0807
7516,-0.543792,0.625188,-0.599611,16.995,16.995
7517,-0.465388,0.427245,-0.563484,16.5699,16.5699
7518,-0.45454,-0.208423,-0.461029,15.2371,15.2371
7519,-0.437061,-0.756382,-0.639093,14.0454,14.0454
7520,-1.01996,-0.251684,-1.28293,13.2061,13.2061
7521,-0.891128,-0.00918163,-1.63764,13.617,13.617
7522,-0.155946,-0.862222,-0.863328,14.1327,14.1327
7523,-0.175414,-0.820879,-0.775287,14.2684,14.2684
7524,-0.187681,0.0904771,-0.722216,15.9653,15.9653
7525,0.108319,0.938984,-0.759119,18.9368,18.9368
7526,0.392284,0.398671,-0.301468,18.5531,18.5531
