timestamp(ms),GPS_RAW_INT.vel
1168609.8220214844,2433
1168709.8220214844,2433
1168809.8220214844,2433
1168909.8220214844,2442
1169009.8220214844,2442
1169109.8220214844,2442
1169209.8220214844,2442
1169309.8220214844,2442
1169409.8220214844,2442
1169509.8220214844,2454
1169609.8220214844,2454
1169709.8220214844,2454
1169809.8220214844,2454
1169909.8220214844,2454
1170009.8220214844,2481
1170109.8220214844,2481
1170209.8220214844,2481
1170309.8220214844,2481
1170409.8220214844,2481
1170509.8220214844,2494
1170609.8220214844,2494
1170709.8220214844,2494
1170809.8220214844,2494
1170909.8220214844,2494
1171009.8220214844,2494
1171109.8220214844,2531
1171209.8220214844,2531
1171309.8220214844,2531
1171409.8220214844,2531
1171509.8220214844,2531
1171609.8220214844,2539
1171709.8220214844,2539
1171809.8220214844,2554
1171909.8220214844,2554
1172009.8220214844,2554
1172109.8220214844,2565
1172209.8220214844,2565
1172309.8220214844,2579
1172409.8220214844,2579
1172509.8220214844,2579
1172609.8220214844,2579
1172709.8220214844,2579
1172809.8220214844,2586
1172909.8220214844,2586
1173009.8220214844,2598
1173109.8220214844,2598
1173209.8220214844,2598
1173309.8220214844,2607
1173409.8220214844,2607
1173509.8220214844,2607
1173609.8220214844,2616
1173709.8220214844,2616
1173809.8220214844,2622
1173909.8220214844,2622
1174009.8220214844,2622
1174109.8220214844,2613
1174209.8220214844,2613
1174309.8220214844,2613
1174409.8220214844,2623
1174509.8220214844,2623
1174609.8220214844,2626
1174709.8220214844,2626
1174809.8220214844,2626
1174909.8220214844,2621
1175009.8220214844,2621
1175109.8220214844,2621
1175209.8220214844,2618
1175309.8220214844,2618
1175409.8220214844,2620
1175509.8220214844,2620
1175609.8220214844,2623
1175709.8220214844,2623
1175809.8220214844,2623
1175909.8220214844,2628
1176009.8220214844,2628
1176109.8220214844,2628
1176209.8220214844,2628
1176309.8220214844,2628
1176409.8220214844,2634
1176509.8220214844,2634
1176609.8220214844,2632
1176709.8220214844,2632
1176809.8220214844,2632
1176909.8220214844,2640
1177009.8220214844,2640
1177109.8220214844,2647
1177209.8220214844,2647
1177309.8220214844,2647
1177409.8220214844,2649
1177509.8220214844,2649
1177609.8220214844,2661
1177709.8220214844,2661
1177809.8220214844,2663
1177909.8220214844,2663
1178009.8220214844,2663
1178109.8220214844,2671
1178209.8220214844,2671
1178309.8220214844,2677
1178409.8220214844,2677
1178509.8220214844,2677
1178609.8220214844,2677
