timestamp(ms),NAV_CONTROLLER_OUTPUT.target_bearing
259655.30712890625,
259755.30712890625,
259855.30712890625,
259955.30712890625,
260055.30712890625,
260155.30712890625,
260255.30712890625,
260355.30712890625,
260455.30712890625,
260555.30712890625,
260655.30712890625,
260755.30712890625,
260855.30712890625,
260955.30712890625,
261055.30712890625,
261155.30712890625,
261255.30712890625,
261355.30712890625,
261455.30712890625,
261555.30712890625,
261655.30712890625,
261755.30712890625,
261855.30712890625,
261955.30712890625,
262055.30712890625,
262155.30712890625,
262255.30712890625,
262355.30712890625,
262455.30712890625,
262555.30712890625,
262655.30712890625,
262755.30712890625,
262855.30712890625,
262955.30712890625,
263055.30712890625,
263155.30712890625,
263255.30712890625,
263355.30712890625,
263455.30712890625,
263555.30712890625,
263655.30712890625,
263755.30712890625,
263855.30712890625,
263955.30712890625,
264055.30712890625,
264155.30712890625,
264255.30712890625,
264355.30712890625,
264455.30712890625,
264555.30712890625,
264655.30712890625,
264755.30712890625,
264855.30712890625,
264955.30712890625,
265055.30712890625,
265155.30712890625,
265255.30712890625,
265355.30712890625,
265455.30712890625,
265555.30712890625,
265655.30712890625,
265755.30712890625,
265855.30712890625,
265955.30712890625,
266055.30712890625,
266155.30712890625,
266255.30712890625,
266355.30712890625,
266455.30712890625,
266555.30712890625,
266655.30712890625,
266755.30712890625,
266855.30712890625,
266955.30712890625,
267055.30712890625,
267155.30712890625,
267255.30712890625,
267355.30712890625,
267455.30712890625,
267555.30712890625,
267655.30712890625,
267755.30712890625,
267855.30712890625,
267955.30712890625,
268055.30712890625,
268155.30712890625,
268255.30712890625,
268355.30712890625,
268455.30712890625,
268555.30712890625,
268655.30712890625,
268755.30712890625,
268855.30712890625,
268955.30712890625,
269055.30712890625,
269155.30712890625,
269255.30712890625,
269355.30712890625,
269455.30712890625,
269555.30712890625,
269655.30712890625,
269755.30712890625,
269855.30712890625,
269955.30712890625,
270055.30712890625,
270155.30712890625,
270255.30712890625,
270355.30712890625,
270455.30712890625,
270555.30712890625,
270655.30712890625,
270755.30712890625,
270855.30712890625,
270955.30712890625,
271055.30712890625,
271155.30712890625,
271255.30712890625,
271355.30712890625,
271455.30712890625,
271555.30712890625,
271655.30712890625,
271755.30712890625,
271855.30712890625,
271955.30712890625,
272055.30712890625,
272155.30712890625,
272255.30712890625,
272355.30712890625,
272455.30712890625,
272555.30712890625,
272655.30712890625,
272755.30712890625,
272855.30712890625,
272955.30712890625,
273055.30712890625,
273155.30712890625,
273255.30712890625,
273355.30712890625,
273455.30712890625,
273555.30712890625,
273655.30712890625,
273755.30712890625,
273855.30712890625,
273955.30712890625,
274055.30712890625,
274155.30712890625,
274255.30712890625,
274355.30712890625,
274455.30712890625,
274555.30712890625,
274655.30712890625,
274755.30712890625,
274855.30712890625,
274955.30712890625,
275055.30712890625,
275155.30712890625,
275255.30712890625,
275355.30712890625,
275455.30712890625,
275555.30712890625,
275655.30712890625,
275755.30712890625,
275855.30712890625,
275955.30712890625,
276055.30712890625,
276155.30712890625,
276255.30712890625,
276355.30712890625,
276455.30712890625,
276555.30712890625,
276655.30712890625,
276755.30712890625,
276855.30712890625,
276955.30712890625,
277055.30712890625,
277155.30712890625,
277255.30712890625,
277355.30712890625,
277455.30712890625,
277555.30712890625,
277655.30712890625,
277755.30712890625,
277855.30712890625,
277955.30712890625,
278055.30712890625,
278155.30712890625,
278255.30712890625,
278355.30712890625,
278455.30712890625,
278555.30712890625,
278655.30712890625,
278755.30712890625,
278855.30712890625,
278955.30712890625,
279055.30712890625,
279155.30712890625,
279255.30712890625,
279355.30712890625,
279455.30712890625,
279555.30712890625,
279655.30712890625,
279755.30712890625,
279855.30712890625,
279955.30712890625,
280055.30712890625,
280155.30712890625,
280255.30712890625,
280355.30712890625,
280455.30712890625,
280555.30712890625,
280655.30712890625,
280755.30712890625,
280855.30712890625,
280955.30712890625,
281055.30712890625,
281155.30712890625,
281255.30712890625,
281355.30712890625,
281455.30712890625,
281555.30712890625,
281655.30712890625,
281755.30712890625,
281855.30712890625,
281955.30712890625,
282055.30712890625,
282155.30712890625,
282255.30712890625,
282355.30712890625,
282455.30712890625,
282555.30712890625,
282655.30712890625,
282755.30712890625,
282855.30712890625,
282955.30712890625,
283055.30712890625,
283155.30712890625,
283255.30712890625,
283355.30712890625,
283455.30712890625,
283555.30712890625,
283655.30712890625,
283755.30712890625,
283855.30712890625,
283955.30712890625,
284055.30712890625,
284155.30712890625,
284255.30712890625,
284355.30712890625,
284455.30712890625,
284555.30712890625,
284655.30712890625,
284755.30712890625,
284855.30712890625,
284955.30712890625,
285055.30712890625,
285155.30712890625,
285255.30712890625,
285355.30712890625,
285455.30712890625,
285555.30712890625,
285655.30712890625,
285755.30712890625,
285855.30712890625,
285955.30712890625,
286055.30712890625,
286155.30712890625,
286255.30712890625,
286355.30712890625,
286455.30712890625,
286555.30712890625,
286655.30712890625,
286755.30712890625,
286855.30712890625,
286955.30712890625,
287055.30712890625,
287155.30712890625,
287255.30712890625,
287355.30712890625,
287455.30712890625,
287555.30712890625,
287655.30712890625,
287755.30712890625,
287855.30712890625,
287955.30712890625,
288055.30712890625,
288155.30712890625,
288255.30712890625,
288355.30712890625,
288455.30712890625,
288555.30712890625,
288655.30712890625,
288755.30712890625,
288855.30712890625,
288955.30712890625,
289055.30712890625,
289155.30712890625,
289255.30712890625,
289355.30712890625,
289455.30712890625,
289555.30712890625,
289655.30712890625,
289755.30712890625,
289855.30712890625,
289955.30712890625,
290055.30712890625,
290155.30712890625,
290255.30712890625,
290355.30712890625,
290455.30712890625,
290555.30712890625,
290655.30712890625,
