timestamp(ms),GPS_RAW_INT.lat,GPS_RAW_INT.lon
1271409.8220214844,485469725,351055481
1271509.8220214844,485469725,351055481
1271609.8220214844,485469334,351054892
1271709.8220214844,485469334,351054892
1271809.8220214844,485469334,351054892
1271909.8220214844,485468942,351054300
1272009.8220214844,485468942,351054300
1272109.8220214844,485468153,351053110
1272209.8220214844,485468153,351053110
1272309.8220214844,485468153,351053110
1272409.8220214844,485467758,351052514
1272509.8220214844,485467758,351052514
1272609.8220214844,485467361,351051914
1272709.8220214844,485467361,351051914
1272809.8220214844,485466963,351051313
1272909.8220214844,485466963,351051313
1273009.8220214844,485466963,351051313
1273109.8220214844,485466169,351050103
1273209.8220214844,485466169,351050103
1273309.8220214844,485465771,351049497
1273409.8220214844,485465771,351049497
1273509.8220214844,485465374,351048892
1273609.8220214844,485465374,351048892
1273709.8220214844,485465374,351048892
1273809.8220214844,485464974,351048288
1273909.8220214844,485464974,351048288
1274009.8220214844,485464974,351048288
1274109.8220214844,485464172,351047084
1274209.8220214844,485464172,351047084
1274309.8220214844,485463771,351046477
1274409.8220214844,485463771,351046477
1274509.8220214844,485463771,351046477
1274609.8220214844,485463371,351045869
1274709.8220214844,485463371,351045869
1274809.8220214844,485463371,351045869
1274909.8220214844,485462971,351045260
1275009.8220214844,485462971,351045260
1275109.8220214844,485462162,351044046
1275209.8220214844,485462162,351044046
1275309.8220214844,485461757,351043442
1275409.8220214844,485461757,351043442
1275509.8220214844,485461757,351043442
1275609.8220214844,485461351,351042834
1275709.8220214844,485460947,351042217
1275809.8220214844,485460947,351042217
1275909.8220214844,485460947,351042217
1276009.8220214844,485460947,351042217
1276109.8220214844,485460550,351041588
1276209.8220214844,485460550,351041588
1276309.8220214844,485459783,351040269
1276409.8220214844,485459783,351040269
1276509.8220214844,485459412,351039587
1276609.8220214844,485459412,351039587
1276709.8220214844,485459412,351039587
1276809.8220214844,485459054,351038880
1276909.8220214844,485459054,351038880
1277009.8220214844,485458709,351038154
1277109.8220214844,485458709,351038154
1277209.8220214844,485458709,351038154
1277309.8220214844,485458069,351036632
1277409.8220214844,485458069,351036632
1277509.8220214844,485457504,351035025
1277609.8220214844,485457504,351035025
1277709.8220214844,485457504,351035025
1277809.8220214844,485457504,351035025
1277909.8220214844,485457504,351035025
1278009.8220214844,485456807,351032472
1278109.8220214844,485456807,351032472
1278209.8220214844,485456807,351032472
1278309.8220214844,485456807,351032472
1278409.8220214844,485456807,351032472
1278509.8220214844,485456444,351030700
1278609.8220214844,485456444,351030700
1278709.8220214844,485456444,351030700
1278809.8220214844,485456444,351030700
1278909.8220214844,485456444,351030700
1279009.8220214844,485456444,351030700
1279109.8220214844,485456062,351027971
1279209.8220214844,485456062,351027971
1279309.8220214844,485456062,351027971
1279409.8220214844,485456062,351027971
1279509.8220214844,485456062,351027971
1279609.8220214844,485455919,351026125
1279709.8220214844,485455919,351026125
1279809.8220214844,485455919,351026125
1279909.8220214844,485455919,351026125
1280009.8220214844,485455919,351026125
1280109.8220214844,485455876,351023345
1280209.8220214844,485455876,351023345
1280309.8220214844,485455876,351023345
1280409.8220214844,485455876,351023345
1280509.8220214844,485455876,351023345
1280609.8220214844,485455956,351021502
1280709.8220214844,485455956,351021502
1280809.8220214844,485455956,351021502
1280909.8220214844,485455956,351021502
1281009.8220214844,485455956,351021502
1281109.8220214844,485456241,351018786
1281209.8220214844,485456241,351018786
1281309.8220214844,485456241,351018786
1281409.8220214844,485456241,351018786
1281509.8220214844,485456241,351018786
