timestamp(ms),altitude(SCALED_PRESSURE2)
1209753.1169433594,711.2082634393166
1209853.1169433594,711.2082634393166
1209953.1169433594,711.1930548931726
1210053.1169433594,711.1930548931726
1210153.1169433594,711.2392050535288
1210253.1169433594,711.2392050535288
1210353.1169433594,711.3278350857809
1210453.1169433594,711.3278350857809
1210553.1169433594,711.0928889843693
1210653.1169433594,711.0928889843693
1210753.1169433594,711.0928889843693
1210853.1169433594,711.2171788074032
1210953.1169433594,711.2171788074032
1211053.1169433594,711.1521492919137
1211153.1169433594,711.1521492919137
1211253.1169433594,711.159491307498
1211353.1169433594,711.159491307498
1211453.1169433594,711.159491307498
1211553.1169433594,711.4363951030253
1211653.1169433594,711.4363951030253
1211753.1169433594,711.4620931006415
1211853.1169433594,711.4620931006415
1211953.1169433594,711.4620931006415
1212053.1169433594,711.52502732118
1212153.1169433594,711.52502732118
1212253.1169433594,711.52502732118
1212353.1169433594,711.8244961073649
1212453.1169433594,711.8244961073649
1212553.1169433594,711.9682031503222
1212653.1169433594,711.9682031503222
1212753.1169433594,712.0437290550569
1212853.1169433594,712.0437290550569
1212953.1169433594,712.0925065810292
1213053.1169433594,712.0925065810292
1213153.1169433594,712.1124372686766
1213253.1169433594,712.1124372686766
1213353.1169433594,712.1124372686766
1213453.1169433594,712.2262529369142
1213553.1169433594,712.2262529369142
1213653.1169433594,712.2262529369142
1213753.1169433594,712.4470704440982
1213853.1169433594,712.4470704440982
1213953.1169433594,712.2314979376356
1214053.1169433594,712.2314979376356
1214153.1169433594,712.2314979376356
1214253.1169433594,712.0054415280792
1214353.1169433594,711.801943776709
1214453.1169433594,711.801943776709
1214553.1169433594,711.801943776709
1214653.1169433594,712.0300923805902
1214753.1169433594,712.0300923805902
1214853.1169433594,712.0300923805902
1214953.1169433594,711.7982724730881
1215053.1169433594,711.7982724730881
1215153.1169433594,711.6676800550666
1215253.1169433594,711.6676800550666
1215353.1169433594,711.490413438581
1215453.1169433594,711.490413438581
1215553.1169433594,711.490413438581
1215653.1169433594,711.5192583303408
1215753.1169433594,711.5192583303408
1215853.1169433594,711.2533648152241
1215953.1169433594,711.2533648152241
1216053.1169433594,711.2533648152241
1216153.1169433594,711.2533648152241
1216253.1169433594,711.1448072830705
1216353.1169433594,711.0116034362429
1216453.1169433594,711.0116034362429
1216553.1169433594,710.9229769093504
1216653.1169433594,710.9229769093504
1216753.1169433594,710.9229769093504
1216853.1169433594,710.9727964337422
1216953.1169433594,710.9727964337422
1217053.1169433594,711.1741753588943
1217153.1169433594,711.1741753588943
1217253.1169433594,711.1741753588943
1217353.1169433594,711.288502109975
1217453.1169433594,711.288502109975
1217553.1169433594,711.0766318086331
1217653.1169433594,711.0766318086331
1217753.1169433594,711.3750349121639
1217853.1169433594,711.3750349121639
1217953.1169433594,711.3750349121639
1218053.1169433594,711.4867422780053
1218153.1169433594,711.4867422780053
1218253.1169433594,711.4867422780053
1218353.1169433594,712.0300923805902
1218453.1169433594,712.0300923805902
1218553.1169433594,711.7809649215811
1218653.1169433594,711.7809649215811
1218753.1169433594,712.0825412558364
1218853.1169433594,712.0825412558364
1218953.1169433594,712.3227615009855
1219053.1169433594,712.3227615009855
1219153.1169433594,712.3227615009855
1219253.1169433594,712.922294600373
1219353.1169433594,712.922294600373
1219453.1169433594,712.922294600373
1219553.1169433594,712.4932278432915
1219653.1169433594,712.9485219215055
1219753.1169433594,712.9485219215055
1219853.1169433594,712.9485219215055
1219953.1169433594,713.1572944657862
1220053.1169433594,713.1572944657862
1220153.1169433594,713.3571546970144
1220253.1169433594,713.3571546970144
1220353.1169433594,713.6047575024356
1220453.1169433594,713.6047575024356
1220553.1169433594,713.6047575024356
1220653.1169433594,713.3529581053781
1220753.1169433594,713.3529581053781
1220853.1169433594,713.7752511799273
