timestamp(ms),GPS_RAW_INT.alt
25409.822021484375,58580
25509.822021484375,58580
25609.822021484375,58580
25709.822021484375,58580
25809.822021484375,58580
25909.822021484375,58580
26009.822021484375,58580
26109.822021484375,58580
26209.822021484375,58580
26309.822021484375,58580
26409.822021484375,58550
26509.822021484375,58550
26609.822021484375,58550
26709.822021484375,58550
26809.822021484375,58550
26909.822021484375,58550
27009.822021484375,58530
27109.822021484375,58530
27209.822021484375,58530
27309.822021484375,58530
27409.822021484375,58540
27509.822021484375,58540
27609.822021484375,58540
27709.822021484375,58540
27809.822021484375,58540
27909.822021484375,58540
28009.822021484375,58580
28109.822021484375,58580
28209.822021484375,58580
28309.822021484375,58580
28409.822021484375,58580
28509.822021484375,58550
28609.822021484375,58550
28709.822021484375,58550
28809.822021484375,58550
28909.822021484375,58550
