t,accCmpX,accCmpY,accCmpZ
282,10.4887,-2.68101,-5.6091
283,10.9516,-0.265849,-9.54091
284,10.6567,2.56577,-13.4187
285,10.8299,1.51375,-14.0876
286,10.9171,0.512626,-15.3532
287,9.52803,1.63055,-18.0705
288,5.92486,-2.51176,-14.5183
289,1.01847,-7.63903,-9.90571
290,-3.88925,-8.17522,-9.81156
291,-5.47056,-7.12518,-10.4117
292,-6.7393,-5.42657,-12.238
293,-8.33664,-2.3505,-15.3214
294,-8.90491,-0.0108176,-17.7086
295,-8.78073,0.535704,-19.4933
296,-8.55455,1.99591,-17.1565
297,-8.20513,3.83658,-12.407
298,-8.86681,0.109929,-6.27275
299,-7.81104,-2.80954,-2.63965
300,-8.05413,-2.74384,-3.56901
301,-8.20498,-2.36616,-3.156
302,-6.37496,-2.27394,-2.70912
303,-3.58034,0.516091,-5.05842
304,-3.80019,0.748281,-4.22868
305,-3.69631,0.684835,-4.33119
306,-8.08333,-0.432339,-1.73324
307,-9.1768,0.448113,-0.91527
308,-6.46842,2.8169,-3.86559
309,-6.06532,0.845757,-2.85401
310,-5.66911,-1.34743,-3.31407
311,-1.29077,0.834648,-6.81475
312,3.50979,2.98074,-11.4951
313,7.6181,3.74231,-14.7968
314,8.03269,4.04156,-16.471
315,8.58672,4.17455,-16.0458
316,9.81767,2.22467,-13.6956
317,9.99853,-0.990341,-11.0706
318,10.062,1.12062,-8.82322
319,9.69361,3.00699,-6.90139
320,8.93343,4.45376,-5.40206
321,10.0885,-0.754287,-4.09181
322,7.69198,-3.01238,-4.43637
323,6.86759,-2.55002,-3.41326
324,6.06072,-2.001,-3.96061
325,5.18083,-1.28115,-4.69089
326,8.0456,-1.28531,-2.06413
327,9.73131,-0.681459,-0.463943
328,9.99882,0.193264,-0.260025
329,7.39113,3.19278,-4.07531
330,8.19945,4.07711,-4.22921
331,8.88134,4.03809,-5.29148
332,9.4074,3.42128,-6.95485
333,8.28725,5.82727,-8.45778
334,6.66861,7.60803,-10.2366
335,4.63303,8.39512,-11.0007
336,2.30208,7.99526,-10.5571
337,0.659726,8.46946,-8.78827
338,-9.46658,0.9215,-1.56387
339,-2.22906,-0.924065,-7.38021
340,9.45126,1.18573,-18.5688
341,10.0538,0.0459166,-19.2924
342,9.3508,-1.44991,-18.4273
343,-2.90885,-8.62632,-8.51411
344,-9.33061,2.36622,-13.146
345,-6.26996,5.86605,-13.8613
346,-1.02247,5.21957,-10.702
347,4.65323,2.06272,-5.29134
348,1.40424,2.33966,-8.25704
349,-6.33731,-3.99465,-14.7514
350,9.65218,2.40271,-4.55665
351,-6.50988,7.15324,-12.7349
352,-9.54004,0.000199512,-16.4436
353,-4.73697,-3.2673,-14.4627
354,-9.54428,-0.980479,-10.621
355,-6.11232,-1.67975,-6.77464
356,4.1345,-7.47449,-10.8662
357,8.07378,3.46237,-15.7561
358,-7.5185,-3.23848,-2.98472
359,-3.23083,8.75488,-9.64633
360,6.61803,-6.74096,-6.10353
361,-8.31489,-1.87486,-19.2177
362,7.34208,-4.79368,-3.11028
363,4.45782,5.50997,-6.92259
364,-7.63472,3.52938,-5.11812
365,-7.38194,1.93721,-3.47394
366,8.90483,2.64269,-4.31973
367,2.05911,9.37756,-10.9668
368,-9.47153,0.166959,-2.38081
369,-2.73708,4.51736,-14.3313
370,7.42237,-6.16403,-13.3586
371,9.47118,-2.35249,-16.952
372,6.98376,5.97514,-8.77687
373,-3.84015,-2.25946,-16.7492
374,-9.42017,0.868126,-13.79
375,-2.78277,1.23488,-10.5902
376,7.87507,2.49639,-19.9196
377,-9.21569,-1.16584,-6.59682
378,9.68316,-2.95953,-15.6359
379,-3.67788,8.50491,-13.2425
380,-3.11928,-5.34859,-14.7232
381,9.38315,0.362242,-2.93044
382,-7.64242,0.672772,-20.0416
383,0.51169,-0.602784,-11.9076
384,3.72169,5.10479,-7.67133
385,-5.47077,-6.25031,-13.5849
386,10.3774,1.7064,-9.67289
387,-7.61897,5.03535,-9.81314
388,-3.44133,-5.73171,-8.48732
389,10.054,-0.134786,-20.9255
390,3.58388,-5.60595,-13.9344
391,-6.95853,-5.54755,-7.82541
392,-7.31646,4.75152,-13.5829
393,6.90681,5.08894,-5.66545
394,8.72004,-1.98799,-2.93362
395,-5.48542,0.312144,-16.7226
396,-5.83383,-1.5762,-16.6666
397,-6.28756,-3.22969,-16.0972
398,-8.47121,0.493825,-18.6668
399,-4.78979,-0.557847,-15.2436
400,2.23395,-6.80893,-9.00803
401,8.69047,-6.27747,-9.22503
402,9.90546,-4.46749,-12.4505
403,10.7518,-2.07796,-15.8211
404,11.1703,-0.258358,-18.3747
405,5.08415,-3.48494,-12.6034
406,-6.25573,-5.77099,-6.80001
407,-6.60148,4.85447,-13.3236
408,-6.06158,6.04719,-11.6936
409,-5.72004,6.63645,-9.50321
410,-2.76742,8.48979,-10.1215
411,0.697762,7.96956,-9.41622
412,4.29909,5.37315,-6.65349
413,5.4345,4.66421,-7.43574
414,7.92807,1.70391,-4.31039
415,9.90506,-0.541943,-2.30924
416,11.2121,-1.18789,-1.92604
417,11.7162,-0.0559308,-1.55094
418,11.3947,2.06178,-3.05092
419,10.2461,4.643,-5.10518
420,6.11501,8.73735,-9.20654
421,0.469213,9.85848,-10.5286
422,-3.92953,7.9937,-9.91167
423,-6.89694,4.22309,-9.43655
424,-7.46026,0.860568,-9.39108
425,-7.10836,-2.49899,-8.96051
426,-5.61812,-5.48684,-8.78207
427,-6.29109,-4.55097,-9.79975
428,-6.77229,-3.59496,-10.8002
429,-4.87556,-6.39843,-9.12531
430,-2.16336,-7.83836,-8.67379
431,3.65253,-8.01431,-10.7367
432,8.93942,-5.30705,-14.2637
433,11.8967,-1.2134,-17.1434
434,12.3006,-0.0058914,-16.2793
435,12.1083,1.7031,-15.2734
436,12.1763,1.6226,-13.4715
437,12.2343,1.27069,-11.1606
438,12.3177,-0.00252798,-9.20507
439,12.1907,-1.27944,-7.46596
440,11.8838,-2.35845,-5.93008
441,12.2531,-0.0651798,-4.77837
442,12.0423,1.85712,-3.83872
443,9.56645,6.42264,-6.74863
444,5.1313,9.64024,-9.29684
445,-0.0853399,9.43773,-8.86876
446,5.60751,9.39307,-9.5037
447,10.2025,5.53952,-6.3969
448,12.0542,1.9494,-3.13862
449,12.1676,-0.647974,-1.31419
