t,velX,velY,velZ,velAir,vel
7236,0.698823,0.611562,-1.23328,18.9115,18.9115
7237,0.354019,0.66044,-1.09051,18.2436,18.2436
7238,-0.047305,0.534707,-0.789655,17.3057,17.3057
7239,0.749621,0.382287,-1.53576,18.2473,18.2473
7240,0.972842,-0.120391,-1.67285,17.8781,17.8781
7241,0.0292799,-0.766114,-0.938458,14.5955,14.5955
7242,-0.936285,-0.170416,-0.570194,14.4385,14.4385
7243,-0.524698,-0.677378,-0.586496,14.0938,14.0938
7244,0.182973,-0.703782,-0.990361,15.0084,15.0084
7245,0.805264,-0.353177,-1.50579,16.9778,16.9778
7246,-0.0468645,-0.667959,-0.950086,14.5432,14.5432
7247,-0.832569,-0.361667,-0.433311,14.4234,14.4234
7248,-0.764698,-0.257144,-0.165848,15.2208,15.2208
7249,-0.676902,-0.0680188,-0.169069,15.7126,15.7126
7250,-0.383315,0.313991,-0.545112,16.4169,16.4169
7251,-0.0382337,0.721528,-0.885165,17.7882,17.7882
7252,0.316026,0.906951,-1.01284,19.0146,19.0146
7253,0.972533,0.269946,-1.0432,19.1136,19.1136
7254,0.761956,-0.618349,-0.834892,17.0524,17.0524
7255,0.503112,-0.826695,-0.763468,16.0317,16.0317
7256,0.185008,-0.923153,-0.855005,14.8897,14.8897
7257,-0.151207,-0.910691,-0.967413,13.9422,13.9422
7258,-0.414723,-0.8172,-1.2424,13.1923,13.1923
7259,-0.636658,-0.661031,-1.36329,12.9009,12.9009
7260,-0.698515,-0.459934,-1.47255,13.0521,13.0521
7261,-0.752459,-0.243535,-1.65923,13.2472,13.2472
7262,-0.740008,-0.440733,-1.40149,13.0921,13.0921
7263,-0.727684,-0.57883,-1.19639,13.0757,13.0757
7264,0.811913,-0.587844,-1.29317,16.8194,16.8194
7265,0.439567,0.683023,-1.48041,18.2211,18.2211
7266,-0.928415,0.0545422,-0.289704,15.4338,15.4338
7267,-0.941816,-0.0557331,-0.0762645,15.5923,15.5923
7268,-0.831459,-0.360518,-0.376522,14.5298,14.5298
7269,-0.611237,-0.693374,-0.704983,13.735,13.735
7270,-0.887773,0.37749,-0.725013,15.635,15.635
7271,0.0905304,0.984236,-0.869462,18.9483,18.9483
7272,-0.356951,0.802575,-0.858811,17.5398,17.5398
7273,-0.72962,0.404154,-0.462137,16.2858,16.2858
7274,-0.145525,0.951005,-0.934524,18.3316,18.3316
7275,0.521831,0.790728,-0.779807,19.3602,19.3602
